"id","support_contract_line_id/id","create_uid/id","create_date","date","user_id/id","project_id/id","task_id/id","hours","work_summary_type_id/id","name"
"__export__.project_task_work_527136","","__export__.res_users_604","2022-01-06 08:59:59","2022-01-06 08:54:29","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70978","1.5","__export__.project_task_work_summary_type_27","1./ Analyse and Review The Programs,   2./ Logic Building, Writing Program Definitions, Solving Errors, Generating Algorithm or steps of solving the program  3./ Rewriting some programs"
"__export__.project_task_work_527458","","__export__.res_users_604","2022-01-07 04:56:15","2022-01-06 04:52:42","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70978","0.25","__export__.project_task_work_summary_type_68","Employment Induction Feedback Survey"
"__export__.project_task_work_527448","","__export__.res_users_604","2022-01-07 04:47:59","2022-01-06 04:47:04","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70978","0.5","__export__.project_task_work_summary_type_39","Listed and Described the Task that i have completed"
"__export__.project_task_work_527447","","__export__.res_users_604","2022-01-07 04:40:23","2022-01-05 04:38:34","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70974","0.5","__export__.project_task_work_summary_type_39","Listed and Described the Task That I have completed"
"__export__.project_task_work_527446","","__export__.res_users_604","2022-01-07 04:38:10","2022-01-05 04:30:35","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70974","7.0","__export__.project_task_work_summary_type_30","1./ Meeting with Project Manager  2./ Python Understanding(Python Variables, Python Data Types, Python Strings, (count, endswith, find, format, index, isspace, lstrip, replace, rfind, rindex, rstrip, zfill, strip, join), Python List, Python Dictionaries, Copying dictionary, Merge dictionaries, Iterating through dictionaries, Fetch value from dictionary, Python Tuples, Python Set, Python Functions, How to define a functions, Call one function from another, Learn how to return value from one function, Python Lambda, Python Built-in Functions, map, Python Class/Objects, Python Inheritance, Python Dates, Find no of Days between two dates, Find Day of the date, Find month of the date, Find year of the date, Convert string to date, Subtract n no of days from a date and find that date, Add year to a date Find date of next Tuesday or Wednesday, Add month to a date, Find no of months between two dates, Find no of years between two dates, Python String Format) are covered Python Understanding Task and it is completed.  3./  Fatching items from Nested Dictionary and List, Nested List or Tuple inside Dictionary  4./ Multi Level Inheritance Program"
"__export__.project_task_work_527444","","__export__.res_users_604","2022-01-07 04:38:10","2022-01-04 04:35:47","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70974","1.0","__export__.project_task_work_summary_type_30","GitHub SSH Key Generating, Adding Generated SSH Key to GitHub, Generated GitHub Token"
"__export__.project_task_work_527445","","__export__.res_users_604","2022-01-07 04:38:10","2022-01-04 04:31:56","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70974","1.0","__export__.project_task_work_summary_type_39","Listed and Described the tasks that i have completed, Learned functionality of the Task, Projects and Work entry in ERP"
"__export__.project_task_work_527439","","__export__.res_users_604","2022-01-07 04:29:12","2022-01-04 04:28:21","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70974","6.0","__export__.project_task_work_summary_type_30","1./ Meeting with Project Manager  2./ GitHub Repository (python_learning) & Video, PyCharm Configuration & Video, Task Video,  3./ Python Understanding(Python Variables, Python Data Types, Python Strings, (count, endswith, find, format, index, isspace, lstrip, replace, rfind, rindex, rstrip, zfill, strip, join), Python List, Python Dictionaries, Copying dictionary, Merge dictionaries, Iterating through dictionaries, Fetch value from dictionary, Python Tuples, Python Set, Python Functions, How to define a functions, Call one function from another, Learn how to return value from one function, Python Lambda, Python Built-in Functions, Python Class Object, Python Inheritance)"
"__export__.project_task_work_526191","","__export__.res_users_48","2022-01-03 13:41:53","2022-01-03 13:30:00","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70955","2.0","__export__.project_task_work_summary_type_46","Meeting: On Boarding || Reviewing ERP"
"__export__.project_task_work_526184","","__export__.res_users_48","2022-01-03 13:41:10","2022-01-03 11:30:00","__export__.res_users_604","__export__.project_project_1288","__export__.project_task_70954","8.0","__export__.project_task_work_summary_type_46","Meeting: On Boarding || ERP Review"
